ENV_PARAMS,round_id=01KG1XFQNMP33031QR5NBFM0B6,max_team_hp=10,max_enemy_hp=15,enemy_attack_prob=1.00,enemy_damage=5,outcome=TIMEOUT
turn_number,stage_number,player0_role,player1_role,player2_role,player0_action,player1_action,player2_action,prev_team_health,new_team_health,prev_enemy_health,new_enemy_health,enemy_intent,team_damage_taken,enemy_damage_taken
1,1,TANK,TANK,TANK,BLOCK,BLOCK,BLOCK,10,7,15,15,WILL_ATTACK,3,0
2,1,TANK,TANK,TANK,BLOCK,BLOCK,BLOCK,7,4,15,15,WILL_ATTACK,3,0
3,2,MEDIC,MEDIC,MEDIC,HEAL,HEAL,HEAL,4,5,15,15,WILL_ATTACK,0,0
4,2,MEDIC,MEDIC,MEDIC,HEAL,HEAL,HEAL,5,6,15,15,WILL_ATTACK,0,0
5,3,MEDIC,TANK,MEDIC,HEAL,BLOCK,HEAL,6,7,15,15,WILL_ATTACK,0,0
6,3,MEDIC,TANK,MEDIC,HEAL,BLOCK,HEAL,7,8,15,15,WILL_ATTACK,0,0
7,4,MEDIC,FIGHTER,MEDIC,HEAL,ATTACK,HEAL,8,7,15,13,WILL_ATTACK,1,2
8,4,MEDIC,FIGHTER,MEDIC,HEAL,ATTACK,HEAL,7,6,13,11,WILL_ATTACK,1,2
9,5,TANK,FIGHTER,MEDIC,BLOCK,ATTACK,HEAL,6,5,11,9,WILL_ATTACK,1,2
10,5,TANK,FIGHTER,MEDIC,BLOCK,ATTACK,HEAL,5,4,9,7,WILL_ATTACK,1,2
