id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt
01KK15RZ1PFHWWTGVATDQ4AAEH,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T08:56:06.966802806Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T08:56:06.966802806Z,01KK152B7R4ZD53WXFFZ6BYJE1,2026-03-06T08:56:06.966802806Z
01KK160519AK2HYNC0AKMG58PJ,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:00:02.473968472Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:00:02.473968472Z,01KK14YQA50QAFCAK6W01QR3B7,2026-03-06T09:00:02.473968472Z
01KK16051AVPY70VC6FZ3JSS81,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:00:02.474528228Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:00:02.474528228Z,01KK14Z0RVMECWC1MW63EJGMSS,2026-03-06T09:00:02.474528228Z
01KK16FZBW96NPTYH4XM8Y8M3D,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:08:40.956816488Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:08:40.956816488Z,01KK156FDQVJQ278PX88B67FJS,2026-03-06T09:08:40.956816488Z
01KK16FZBXQQ6311VHQ3NAG122,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:08:40.95742597Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:08:40.95742597Z,01KK15D81NJ35HBJ07N6ACFCPZ,2026-03-06T09:08:40.95742597Z
01KK17A51T0BDT187W2Z2VVJJZ,01KK14SSXNQ645HH7AJXYEQV6N,2026-03-06T09:22:58.746057294Z,01KK14SSY8E64SK69715NN1TMW,2026-03-06T09:22:58.746057294Z,01KK1541ATE0SZ921D4RW5PNQ6,2026-03-06T09:22:58.746057294Z
01KK15RZ1N5SVPX20WF9PXR72K,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T08:56:06.965988704Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T08:56:06.965988704Z,01KK14VZHF7ANFGF38NNJCNQ5J,2026-03-06T08:56:06.965988704Z
01KK15RZ1PFHWWTGVAT4T71VKH,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T08:56:06.966295586Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T08:56:06.966295586Z,01KK151EAZ3RYJENNDVWS0NTPD,2026-03-06T08:56:06.966295586Z
01KK17A51WKT9XJC8H0S5XXE3K,01KK14SSXNQ645HH7AJXYEQV6N,2026-03-06T09:22:58.748424278Z,01KK14SSY8E64SK69715NN1TMW,2026-03-06T09:22:58.748424278Z,01KK1597T2BEG3G8VK34AEJWBX,2026-03-06T09:22:58.748424278Z
01KK17A51XM8J08C16F8R70650,01KK14SSXNQ645HH7AJXYEQV6N,2026-03-06T09:22:58.749724693Z,01KK14SSY8E64SK69715NN1TMW,2026-03-06T09:22:58.749724693Z,01KK15V3W97WBJW05NQ6ZQT7MZ,2026-03-06T09:22:58.749724693Z
01KK16051AVPY70VC6G2WWPDBB,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:00:02.474929065Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:00:02.474929065Z,01KK156D2KMM2MHNDEQKNRSXGT,2026-03-06T09:00:02.474929065Z
01KK16FZBV7ZG5MAY5GVXSH0R9,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:08:40.955869988Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:08:40.955869988Z,01KK154JWJFWXC0WVJEYB8KK83,2026-03-06T09:08:40.955869988Z
